"","Identity","expr_mean"
"1","B",-0.0259893772637973
"2","CD8+_T",-0.0434553363834685
"3","Dendritic_Cell",-0.105226541754232
"4","Exhausted_CD4/8+_T",-0.100468672011217
"5","Exhausted_CD8+_T",-0.174167872144526
"6","Mast_Cell",-0.283832204003231
"7","Microglial",-0.181193780740092
"8","Naive_CD8+_T",0.0986915909106893
"9","Natural_Killer_T",0.0412653643742624
"10","Progenitor",-0.191477098477136
