"","Identity","expr_mean"
"1","meta_64",0.00865582306944489
"2","meta_68",0.192164992503561
"3","meta_71",-0.234292558158733
"4","meta_77",-0.24218279703048
"5","meta_78",-0.244170111902131
"6","nontumor_66",-0.0106258315188534
"7","nontumor_73",-0.00978061761793617
"8","nontumor_75",-0.00230252060151361
"9","nontumor_76",-0.0198835333883433
"10","primary_62",0.0769455375578675
"11","primary_63",-0.213714586017741
"12","primary_65",0.0971004618482703
"13","primary_67",0.0127818850775497
"14","primary_69",-0.0134870471327249
"15","primary_70",0.0142239742316202
"16","primary_72",-0.105480778722371
"17","primary_74",-0.000568618102549647
