"","tilTemra_001","tilTemra_002","tilTemra_003","pTemra_004","pTemra_005","pTemra_006"
"ENSG00000000419.L01",20.5223455449582,20.3484403355296,22.1323322779853,23.0567335686072,23.7054151667186,23.5943518617127
"ENSG00000000457.L01",10.8012344973464,10.7097054397524,8.8529329111941,8.30042408469859,8.20572063463336,8.167275644439
"ENSG00000000460.L01",4.32049379893857,4.28388217590098,6.63969968339558,2.76680802823286,2.73524021154445,3.62990028641733
"ENSG00000000460.L02",0,13.9226170716782,0,0,4.55873368590742,0
"ENSG00000000938.L01",27.0030862433661,27.8452341433564,24.3455655057838,102.371897044616,103.939128038689,111.619433807333
"ENSG00000001036.L01",4.32049379893857,4.28388217590098,3.31984984169779,4.61134671372144,4.55873368590742,4.53737535802167
"ENSG00000001167.L01",20.5223455449582,0,30.9852651891794,13.8340401411643,0,13.612126074065
"ENSG00000001460.L01",1.08012344973464,1.07097054397524,2.21323322779853,1.84453868548858,1.82349347436297,1.81495014320867
"ENSG00000001461.L01",22.6825924444275,22.4903814234801,17.7058658223882,24.9012722540958,25.5289086410816,25.4093020049213
"ENSG00000001497.L01",19.4422220952236,19.2774697915544,16.5992492084889,19.36765619763,19.1466814808112,19.056976503691
"ENSG00000001561",0,0,3.31984984169779,0,0,19.056976503691
"ENSG00000001561.L01",3.24037034920393,4.28388217590098,0,18.4453868548858,22.7936684295371,0
"ENSG00000001629.L01",21.6024689946929,21.4194108795049,21.025715664086,22.1344642258629,21.8819216923556,21.779401718504
"ENSG00000002330.L01",8.64098759787715,8.56776435180196,6.63969968339558,11.9895014556757,11.8527075833593,11.7971759308563
"ENSG00000002549.L01",31.3235800423047,35.3420279511831,32.0918818030786,17.5231175121415,18.2349347436297,18.1495014320867
"ENSG00000002586.L01",141.496171915238,137.084229628831,105.12857832043,279.447610851519,270.788780942901,270.427571338091
"ENSG00000002822.L01",28.0832096931007,27.8452341433564,28.7720319613808,22.1344642258629,20.9701749551741,20.8719266468997
"ENSG00000002834.L01",47.5254317883243,47.1227039349108,40.9448147142727,79.3151634760087,78.4102193976077,78.0428561579727
"ENSG00000002919.L01",11.8813579470811,11.7806759837277,14.3860159806904,17.5231175121415,17.3231880064482,17.2420263604823
"ENSG00000003056.L01",78.849011830629,78.1808497101928,74.1433131312506,89.4601262461959,84.7924465578781,89.840032088829
"ENSG00000003393.L01",4.32049379893857,4.28388217590098,5.53308306949631,4.61134671372144,4.55873368590742,4.53737535802167
"ENSG00000003400.L01",14.0416048465504,14.9935876156534,15.4926325945897,10.1449627701872,3.64698694872594,3.62990028641733
"ENSG00000003402.L01",100.451480825322,97.4583195017472,82.9962460424447,127.273169298712,123.997556256682,124.324084809794
"ENSG00000003509.L01",12.9614813968157,12.8516465277029,13.2793993667912,15.6785788266529,16.4114412692667,16.334551288878
"ENSG00000003987.L01",1.08012344973464,2.14194108795049,3.31984984169779,0.922269342744288,1.82349347436297,1.81495014320867
"ENSG00000004142",20.5223455449582,20.3484403355296,17.7058658223882,22.1344642258629,22.7936684295371,22.6868767901083
"ENSG00000004399.L01",45.365184888855,46.0517333909355,17.7058658223882,72.8592780767987,73.8514857117003,88.0250819456203
"ENSG00000004455.L01",37.8043207407125,37.4839690391336,30.9852651891794,28.5903496250729,28.264148852626,29.0392022913387
"ENSG00000004468.L01",17.2819751957543,17.1355287036039,11.0661661389926,4.61134671372144,4.55873368590742,4.53737535802167
"ENSG00000004478.L01",43.2049379893857,36.4129984951583,43.1580479420712,11.0672321129315,10.0292141089963,10.889700859252
"ENSG00000004487.L01",24.8428393438968,25.7032930554059,19.9190990501867,28.5903496250729,28.264148852626,29.0392022913387
"ENSG00000004660.L01",2.16024689946929,2.14194108795049,3.31984984169779,0.922269342744288,0.911746737181485,0.907475071604333
"ENSG00000004700.L01",21.6024689946929,21.4194108795049,15.4926325945897,29.5126189678172,30.087642326989,29.0392022913387
"ENSG00000004766.L01",8.64098759787715,8.56776435180196,14.3860159806904,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000004777.L01",8.64098759787715,8.56776435180196,8.8529329111941,11.0672321129315,10.9409608461778,10.889700859252
"ENSG00000004779.L01",25.9229627936314,25.7032930554059,16.5992492084889,22.1344642258629,21.8819216923556,21.779401718504
"ENSG00000004864.L01",4.32049379893857,5.35485271987622,3.31984984169779,5.53361605646573,5.47048042308891,5.444850429626
"ENSG00000004897.L01",14.0416048465504,14.9935876156534,16.5992492084889,25.8235415968401,26.4406553782631,26.3167770765257
"ENSG00000004961.L01",4.32049379893857,4.28388217590098,5.53308306949631,6.45588539921001,6.38222716027039,6.35232550123033
"ENSG00000004975.L01",17.2819751957543,16.0645581596287,19.9190990501867,19.36765619763,18.2349347436297,18.1495014320867
"ENSG00000005007.L01",38.8844441904472,38.5549395831088,40.9448147142727,41.5021204234929,41.0286031731668,41.7438532937993
"ENSG00000005020.L01",10.8012344973464,11.7806759837277,7.74631629729484,11.0672321129315,10.9409608461778,10.889700859252
"ENSG00000005022.L01",162.018517460197,160.645581596287,180.37850806558,93.1492036171731,92.08642045533,91.6549822320377
"ENSG00000005059.L01",52.9260490369975,52.477556654787,30.9852651891794,25.8235415968401,26.4406553782631,26.3167770765257
"ENSG00000005075",24.8428393438968,24.6323225114306,21.025715664086,28.5903496250729,28.264148852626,28.1317272197343
"ENSG00000005175.L01",10.8012344973464,11.7806759837277,7.74631629729484,8.30042408469859,10.0292141089963,8.167275644439
"ENSG00000005187.L01",4.32049379893857,4.28388217590098,3.31984984169779,0.922269342744288,0.911746737181485,0.907475071604333
"ENSG00000005194.L01",31.3235800423047,32.1291163192573,17.7058658223882,32.2794269960501,31.911135801352,32.669102577756
"ENSG00000005206.L01",58.3266662856707,44.9807628469603,36.5183482586757,35.0462350242829,23.7054151667186,29.0392022913387
"ENSG00000005238.L01",2.16024689946929,2.14194108795049,4.42646645559705,6.45588539921001,6.38222716027039,7.25980057283467
"ENSG00000005243.L01",0,1.07097054397524,2.21323322779853,3.68907737097715,3.64698694872594,3.62990028641733
"ENSG00000005302.L01",95.0508635766486,95.3163784137968,138.327076737408,51.6470831936801,51.9695640193446,52.6335541530513
"ENSG00000005339.L01",47.5254317883243,48.193674478886,50.9043642393661,73.781547419543,73.8514857117003,60.8008297974903
"ENSG00000005379.L01",59.4067897354054,58.9033799186384,44.2646645559705,103.29416638736,100.292141089963,98.007307733268
"ENSG00000005436.L04",1.08012344973464,1.07097054397524,7.74631629729484,0.922269342744288,0.911746737181485,5.444850429626
"ENSG00000005436.L05",6.48074069840786,6.42582326385147,0,5.53361605646573,5.47048042308891,0
"ENSG00000005448.L01",12.9614813968157,12.8516465277029,16.5992492084889,23.9790029113515,23.7054151667186,23.5943518617127
"ENSG00000005469.L01",7.5608641481425,7.49679380782671,4.42646645559705,12.91177079842,13.6762010577223,13.612126074065
"ENSG00000005483.L01",62.6471600846093,63.1872620945394,95.1690287953366,75.6260861050316,73.8514857117003,75.3204309431597
"ENSG00000005486.L01",73.4483945819557,72.8259969903166,69.7168466756535,42.4243897662372,41.9403499103483,41.7438532937993
"ENSG00000005700.L01",10.8012344973464,11.7806759837277,9.95954952509336,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000005801.L01",12.9614813968157,12.8516465277029,15.4926325945897,21.2121948831186,20.9701749551741,20.8719266468997
"ENSG00000005810.L01",43.2049379893857,42.8388217590098,40.9448147142727,35.9685043670272,35.5581227500779,36.2990028641733
"ENSG00000005812.L02",22.6825924444275,22.4903814234801,26.5587987335823,25.8235415968401,24.6171619039001,22.6868767901083
"ENSG00000005844.L01",206.303578899317,205.626344443247,232.389488918845,558.895221703038,557.077256417887,621.620424048968
"ENSG00000005882.L01",14.0416048465504,13.9226170716782,11.0661661389926,14.7563094839086,14.5879477949038,14.5196011456693
"ENSG00000005884.L01",2.16024689946929,2.14194108795049,6.63969968339558,0.922269342744288,0.911746737181485,0.907475071604333
"ENSG00000005889.L01",9.72111104761179,9.6387348957772,15.4926325945897,12.91177079842,13.6762010577223,12.7046510024607
"ENSG00000005893.L01",12.9614813968157,12.8516465277029,12.1727827528919,16.6008481693972,17.3231880064482,17.2420263604823
"ENSG00000005955.L01",71.2881476824865,70.6840559023661,52.0109808532653,68.2479313630773,61.0870313911595,65.338205155512
"ENSG00000006007.L01",9.72111104761179,9.6387348957772,13.2793993667912,23.0567335686072,23.7054151667186,23.5943518617127
"ENSG00000006015.L01",66.9676538835479,65.3292031824899,25.452182119683,41.5021204234929,40.1168564359853,39.9289031505907
"ENSG00000006016.L01",8.64098759787715,8.56776435180196,11.0661661389926,4.61134671372144,4.55873368590742,4.53737535802167
"ENSG00000006025.L01",21.6024689946929,21.4194108795049,22.1323322779853,59.0252379356344,58.351791179615,69.8755805135337
"ENSG00000006062.L01",20.5223455449582,20.3484403355296,11.0661661389926,23.9790029113515,23.7054151667186,2.722425214813
"ENSG00000006062.L02",0,0,22.1323322779853,0,0,23.5943518617127
"ENSG00000006075",362.92147911084,361.988043863633,136.113843509609,13.8340401411643,14.5879477949038,14.5196011456693
"ENSG00000006114.L01",46.4453083385897,47.1227039349108,38.7315814864742,28.5903496250729,28.264148852626,28.1317272197343
"ENSG00000006125.L01",36.7241972909779,37.4839690391336,37.6249648725749,48.8802751654472,49.2343238078002,48.0961787950297
"ENSG00000006194.L01",33.4838269417739,32.1291163192573,37.6249648725749,19.36765619763,19.1466814808112,19.056976503691
"ENSG00000006432.L01",2.16024689946929,2.14194108795049,2.21323322779853,3.68907737097715,3.64698694872594,3.62990028641733
"ENSG00000006451.L01",16.2018517460196,17.1355287036039,15.4926325945897,8.30042408469859,8.20572063463336,8.167275644439
"ENSG00000006459.L01",28.0832096931007,27.8452341433564,44.2646645559705,35.9685043670272,36.4698694872594,34.4840527209647
"ENSG00000006530.L01",21.6024689946929,21.4194108795049,16.5992492084889,23.9790029113515,24.6171619039001,24.501826933317
"ENSG00000006555.L01",2.16024689946929,2.14194108795049,2.21323322779853,7.3781547419543,6.38222716027039,7.25980057283467
"ENSG00000006576.L01",11.8813579470811,11.7806759837277,13.2793993667912,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000006607.L01",5.40061724867322,5.35485271987622,7.74631629729484,8.30042408469859,8.20572063463336,8.167275644439
"ENSG00000006634.L01",16.2018517460196,16.0645581596287,17.7058658223882,16.6008481693972,17.3231880064482,16.334551288878
"ENSG00000006695.L01",12.9614813968157,12.8516465277029,11.0661661389926,5.53361605646573,4.55873368590742,5.444850429626
"ENSG00000006712.L01",62.6471600846093,62.1162915505642,98.4888786370344,17.5231175121415,17.3231880064482,21.779401718504
"ENSG00000006715.L01",16.2018517460196,17.1355287036039,17.7058658223882,21.2121948831186,21.8819216923556,22.6868767901083
"ENSG00000006744.L01",29.1633331428354,28.9162046873316,24.3455655057838,37.8130430525158,37.3816162244409,37.2064779357777
"ENSG00000006756.L01",2.16024689946929,4.28388217590098,3.31984984169779,2.76680802823286,6.38222716027039,6.35232550123033
"ENSG00000006831.L01",14.0416048465504,13.9226170716782,17.7058658223882,47.958005822703,47.4108303334372,48.0961787950297
"ENSG00000007038.L01",3.24037034920393,3.21291163192573,1.10661661389926,0.922269342744288,0.911746737181485,1.81495014320867
"ENSG00000007080",0,22.4903814234801,18.8124824362875,0,21.8819216923556,21.779401718504
"ENSG00000007080.L01",22.6825924444275,0,0,22.1344642258629,0,0
"ENSG00000007129.L01",36.7241972909779,38.5549395831088,34.3051150308771,47.0357364799587,48.3225770706187,44.4662785086123
"ENSG00000007168.L01",75.608641481425,69.6130853583909,67.503613447855,82.0819715042416,74.7632324488817,75.3204309431597
"ENSG00000007202.L01",0,0,50.9043642393661,0,0,56.2634544394687
"ENSG00000007237.L01",2.16024689946929,2.14194108795049,3.31984984169779,11.9895014556757,11.8527075833593,11.7971759308563
"ENSG00000007255",41.0446910899164,40.6968806710593,29.8786485752801,28.5903496250729,27.3524021154445,27.22425214813
"ENSG00000007264.L01",60.48691318514,58.9033799186384,40.9448147142727,109.75005178657,106.674368250234,106.174583377707
"ENSG00000007312.L01",8.64098759787715,8.56776435180196,7.74631629729484,2.76680802823286,2.73524021154445,2.722425214813
"ENSG00000007341.L01",6.48074069840786,6.42582326385147,7.74631629729484,3.68907737097715,3.64698694872594,3.62990028641733
"ENSG00000007350.L01",2.16024689946929,2.14194108795049,4.42646645559705,2.76680802823286,2.73524021154445,2.722425214813
"ENSG00000007376.L01",11.8813579470811,11.7806759837277,7.74631629729484,18.4453868548858,18.2349347436297,18.1495014320867
"ENSG00000007392.L01",75.608641481425,73.8969675342919,61.9705303783587,47.0357364799587,46.4990835962557,49.003653866634
"ENSG00000007402.L01",4.32049379893857,4.28388217590098,3.31984984169779,3.68907737097715,2.73524021154445,1.81495014320867
"ENSG00000007402.L02",2.16024689946929,2.14194108795049,3.31984984169779,23.0567335686072,22.7936684295371,22.6868767901083
"ENSG00000007516.L01",3.24037034920393,3.21291163192573,2.21323322779853,4.61134671372144,4.55873368590742,3.62990028641733
"ENSG00000007520.L01",24.8428393438968,24.6323225114306,15.4926325945897,28.5903496250729,28.264148852626,28.1317272197343
"ENSG00000007923.L01",24.8428393438968,21.4194108795049,16.5992492084889,20.2899255403743,16.4114412692667,15.4270762172737
"ENSG00000007944.L01",144.736542264442,139.226170716782,112.874894617725,41.5021204234929,40.1168564359853,40.836378222195
"ENSG00000008018",97.2111104761179,97.4583195017472,82.9962460424447,97.7605503308945,98.4686476156003,97.0998326616637
"ENSG00000008083.L01",10.8012344973464,10.7097054397524,13.2793993667912,18.4453868548858,17.3231880064482,17.2420263604823
"ENSG00000008130.L01",23.7627158941622,24.6323225114306,29.8786485752801,27.6680802823286,30.087642326989,33.5765776493603
"ENSG00000008226.L01",3.24037034920393,3.21291163192573,2.21323322779853,3.68907737097715,3.64698694872594,3.62990028641733
"ENSG00000008256.L01",6.48074069840786,7.49679380782671,6.63969968339558,4.61134671372144,4.55873368590742,5.444850429626
"ENSG00000008277.L01",1.08012344973464,1.07097054397524,2.21323322779853,2.76680802823286,2.73524021154445,2.722425214813
"ENSG00000008282.L01",21.6024689946929,21.4194108795049,22.1323322779853,8.30042408469859,8.20572063463336,8.167275644439
"ENSG00000008283.L01",16.2018517460196,16.0645581596287,12.1727827528919,12.91177079842,12.7644543205408,12.7046510024607
"ENSG00000008294.L01",20.5223455449582,23.5613519674554,26.5587987335823,41.5021204234929,43.7638433847113,41.7438532937993
"ENSG00000008300.L01",0,4.28388217590098,4.42646645559705,0,5.47048042308891,5.444850429626
"ENSG00000008311.L01",2.16024689946929,2.14194108795049,3.31984984169779,1.84453868548858,1.82349347436297,1.81495014320867
"ENSG00000008324",29.1633331428354,29.9871752313068,24.3455655057838,20.2899255403743,20.9701749551741,20.8719266468997
"ENSG00000008382.L01",6.48074069840786,6.42582326385147,6.63969968339558,7.3781547419543,7.29397389745188,7.25980057283467
"ENSG00000008405.L01",12.9614813968157,12.8516465277029,17.7058658223882,25.8235415968401,25.5289086410816,23.5943518617127
"ENSG00000008513.L01",66.9676538835479,66.4001737264652,98.4888786370344,38.7353123952601,38.2933629616224,38.113953007382
"ENSG00000008516.L01",3.24037034920393,3.21291163192573,2.21323322779853,0.922269342744288,0.911746737181485,0.907475071604333
"ENSG00000008516.L02",24.8428393438968,20.3484403355296,17.7058658223882,22.1344642258629,19.1466814808112,21.779401718504
"ENSG00000008517.L01",300.274319026231,296.658840681143,241.242421830039,397.498086722788,392.96284372522,394.751656147885
"ENSG00000008517.L02",4.32049379893857,4.28388217590098,3.31984984169779,0,0,0
"ENSG00000008710.L01",50.7658021375282,53.5485271987622,42.051431328172,57.1806992501458,57.4400444424335,56.2634544394687
"ENSG00000008838.L01",39.9645676401818,39.625910127084,39.8381981003735,46.1134671372144,46.4990835962557,46.281228651821
"ENSG00000008853.L01",5.40061724867322,5.35485271987622,5.53308306949631,9.22269342744288,9.11746737181485,9.07475071604333
"ENSG00000008869.L01",17.2819751957543,17.1355287036039,15.4926325945897,22.1344642258629,21.8819216923556,22.6868767901083
"ENSG00000008952.L01",35.6440738412432,35.3420279511831,33.1984984169779,34.1239656815386,33.7346292757149,34.4840527209647
"ENSG00000008988.L01",2688.42726638953,2691.34897700979,3282.22487682521,1819.63741323448,1817.1112472027,1783.18851570252
"ENSG00000009335.L01",37.8043207407125,37.4839690391336,30.9852651891794,32.2794269960501,32.8228825385334,32.669102577756
"ENSG00000009413.L01",8.64098759787715,8.56776435180196,11.0661661389926,11.0672321129315,10.9409608461778,10.889700859252
"ENSG00000009694",0,0,4.42646645559705,0,0,8.167275644439
"ENSG00000009694.L01",5.40061724867322,6.42582326385147,4.42646645559705,1.84453868548858,1.82349347436297,13.612126074065
"ENSG00000009694.L02",5.40061724867322,5.35485271987622,6.63969968339558,13.8340401411643,13.6762010577223,16.334551288878
"ENSG00000009694.L03",4.32049379893857,4.28388217590098,1.10661661389926,11.0672321129315,10.9409608461778,0.907475071604333
"ENSG00000009694.L04",6.48074069840786,11.7806759837277,1.10661661389926,11.9895014556757,29.1758955898075,0.907475071604333
"ENSG00000009694.L10",0,3.21291163192573,0,0.922269342744288,8.20572063463336,0
"ENSG00000009694.L13",3.24037034920393,0,0,8.30042408469859,0,0
"ENSG00000009724.L01",3.24037034920393,3.21291163192573,2.21323322779853,10.1449627701872,10.0292141089963,8.167275644439
"ENSG00000009724.L02",1.08012344973464,1.07097054397524,1.10661661389926,2.76680802823286,2.73524021154445,2.722425214813
"ENSG00000009780.L01",5.40061724867322,5.35485271987622,5.53308306949631,8.30042408469859,8.20572063463336,8.167275644439
"ENSG00000009790.L01",119.893702920545,119.948700925227,128.367527212314,189.987484605323,194.202055019656,193.292190251723
"ENSG00000009830.L01",4.32049379893857,4.28388217590098,6.63969968339558,4.61134671372144,4.55873368590742,4.53737535802167
"ENSG00000009844.L01",11.8813579470811,11.7806759837277,12.1727827528919,13.8340401411643,13.6762010577223,13.612126074065
"ENSG00000009954.L01",23.7627158941622,23.5613519674554,19.9190990501867,19.36765619763,19.1466814808112,19.056976503691
"ENSG00000010017.L01",31.3235800423047,31.0581457752821,30.9852651891794,32.2794269960501,31.911135801352,32.669102577756
"ENSG00000010072.L01",5.40061724867322,5.35485271987622,5.53308306949631,11.0672321129315,10.9409608461778,9.98222578764767
"ENSG00000010165.L01",7.5608641481425,7.49679380782671,5.53308306949631,4.61134671372144,4.55873368590742,5.444850429626
"ENSG00000010256.L01",34.5639503915086,34.2710574072078,29.8786485752801,35.0462350242829,35.5581227500779,35.391527792569
"ENSG00000010270.L01",19.4422220952236,19.2774697915544,16.5992492084889,14.7563094839086,14.5879477949038,14.5196011456693
"ENSG00000010278.L01",4.32049379893857,4.28388217590098,15.4926325945897,0.922269342744288,0.911746737181485,0.907475071604333
"ENSG00000010292.L01",14.0416048465504,12.8516465277029,14.3860159806904,13.8340401411643,13.6762010577223,13.612126074065
"ENSG00000010295.L01",44.2850614391204,43.909792302985,33.1984984169779,48.8802751654472,47.4108303334372,58.0784045826773
"ENSG00000010310.L01",17.2819751957543,16.0645581596287,12.1727827528919,20.2899255403743,20.0584282179927,19.9644515752953
"ENSG00000010318.L01",3.24037034920393,3.21291163192573,2.21323322779853,6.45588539921001,6.38222716027039,6.35232550123033
"ENSG00000010322.L01",42.1248145396511,42.8388217590098,53.1175974671646,56.2584299074015,57.4400444424335,60.8008297974903
"ENSG00000010361.L01",7.5608641481425,7.49679380782671,7.74631629729484,7.3781547419543,7.29397389745188,7.25980057283467
"ENSG00000010539.L01",6.48074069840786,6.42582326385147,17.7058658223882,3.68907737097715,3.64698694872594,4.53737535802167
"ENSG00000010704.L01",2.16024689946929,2.14194108795049,1.10661661389926,0.922269342744288,1.82349347436297,1.81495014320867
"ENSG00000010803.L01",9.72111104761179,9.6387348957772,9.95954952509336,6.45588539921001,6.38222716027039,6.35232550123033
"ENSG00000010810.L01",381.283577756329,380.194543111212,303.212952208398,474.046442170564,475.931796808735,473.701987377462
"ENSG00000010818.L01",35.6440738412432,35.3420279511831,44.2646645559705,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000011007.L01",0,9.6387348957772,12.1727827528919,0,13.6762010577223,14.5196011456693
"ENSG00000011009.L01",36.7241972909779,36.4129984951583,37.6249648725749,50.7248138509358,50.1460705449817,50.8186040098427
"ENSG00000011021.L01",7.5608641481425,7.49679380782671,8.8529329111941,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000011114.L01",7.5608641481425,7.49679380782671,8.8529329111941,10.1449627701872,10.0292141089963,9.98222578764767
"ENSG00000011132.L01",32.4037034920393,32.1291163192573,28.7720319613808,29.5126189678172,28.264148852626,29.946677362943
"ENSG00000011143.L01",8.64098759787715,8.56776435180196,5.53308306949631,3.68907737097715,3.64698694872594,3.62990028641733
