"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",2.71080767537694,1.27593848574986,1.09120320292758,1.16929503352506,0.242284783452983,0.569391330115345
"A2M",3.60148310158091,-0.955597721845208,0.964001986655832,-0.991281900943193,0.321547948165642,0.653615566101553
"A2MP1",2.94722293069046,-0.879384034656465,1.92704598052348,-0.456337857811561,0.648147044476032,0.891095594870806
"AAAS",21.7513625213199,-0.015641411836424,0.382385966393028,-0.0409047747854513,0.967371810906793,0.993267014666876
"AACS",5.65409239379117,-0.0286944347069506,0.718580483655644,-0.0399321097074234,0.9681472516665,0.993267014666876
"AAGAB",17.1858770854089,-0.308878361138985,0.426673290856018,-0.723922419702659,0.469113365044353,0.780166380791106
"AAMP",39.0692562499154,0.287352932205265,0.281063035286521,1.02237895464386,0.306601577255436,0.639870328475259
"AAR2",12.7951489439555,-0.858543767865458,0.503044462657809,-1.70669559372424,0.0878786466345821,0.304470487687097
"AARS1",7.9339621360932,0.840327557568021,1.99058757837639,0.422150508069294,0.67291516351766,0.893199219453187
"AARS2",5.86362398810457,0.400481685627627,1.97012244290907,0.203277561285114,0.83891809288421,0.965286921733375
"AASDH",5.99949128323253,0.140161995538233,0.694018472465861,0.201957154022478,0.839950220070704,0.965286921733375
"AASDHPPT",8.55985600915348,0.652794685702363,0.602513454689387,1.08345246171954,0.278607640531688,0.60885412312849
"AASS",2.6543467521749,-0.220118696307391,1.03723706496608,-0.212216381136157,0.831938227487072,0.964096692229946
"AATK",4.44709733359262,3.06305299742186,1.69324713662884,1.80898164902274,0.070453854348104,0.262009346219536
"ABAT",3.65426196604699,-0.121217703950939,0.888104221992764,-0.136490403884069,0.891433610149594,0.980372562010727
"ABCA2",102.912751755416,-1.19697311324198,0.184804490309013,-6.47696985739098,9.35828785285081e-11,3.75246546704089e-09
"ABCA3",4.12992433619429,-0.443245937791666,0.844895366428604,-0.52461636719027,0.599849906477758,0.865509145096151
"ABCA7",50.1522327257851,0.868235510916439,0.32002955177143,2.7129854293473,0.00666800384360609,0.0468351268496442
"ABCB1",26.1821517593902,0.159095415558891,0.341546716009391,0.465808652525636,0.641352471145014,0.889530959205782
"ABCB10",8.24753965326308,-0.445622670709314,0.601683744874458,-0.74062607558443,0.458920193095098,0.773453459365107
"ABCB7",10.1639476222091,1.14097370535666,0.565044913879143,2.01926196897102,0.0434599984785492,0.187785491510283
"ABCB8",7.05625089476298,0.185935999890503,3.75128646709242,0.0495659293209403,0.960468297706824,0.991571688054808
"ABCC1",26.3587023901422,0.603160976336099,0.340376414357517,1.77204104307464,0.0763877444289791,0.277779214122632
"ABCC10",18.8729345621008,0.218936468134268,0.428023800573439,0.511505359844362,0.608997236271528,0.86885299257769
"ABCC4",2.53639229059447,0.731991690654855,1.13764827659908,0.643425306143911,0.519948167283576,0.81327108878799
"ABCC5",9.34815193701936,-0.858904828603,0.581378325892751,-1.47735956149395,0.139579279913455,0.409789867679528
"ABCD1",4.99407382492799,0.138575957748333,0.767255647272431,0.180612496292423,0.85667174657774,0.971549879990776
"ABCD3",8.50631716300525,0.0869278534600757,0.619586781555855,0.140299722408199,0.888423183641855,0.980372562010727
"ABCE1",21.0315386948983,0.678124797086774,0.388855673531832,1.74389842618887,0.0811768031233702,0.290041078849239
"ABCF1",29.8411538466323,1.2024897681833,0.334303834688087,3.59699663423021,0.000321912647307009,0.00364861294472844
"ABCF2",9.62067071572856,0.91780156760058,0.567530072262167,1.617185788838,0.105838182980662,0.345092911764196
"ABCF3",39.187288811418,0.605690421785385,0.337663607663184,1.7937687332582,0.0728500894398732,0.268606896588413
"ABCG1",12.1304340571189,2.90571115663691,0.716429830821506,4.05582100525467,4.99585081119047e-05,0.000706931622840249
"ABHD10",9.94496768964813,-0.055691156056374,0.581379980823929,-0.0957913204672936,0.923686310922896,0.98259342508603
"ABHD11",5.92133439883329,-0.681512338087259,0.719547652360249,-0.947139964742812,0.343567462383853,0.677369147141495
"ABHD12",14.47914689308,-0.666213210411479,0.467328269726456,-1.42557866401157,0.153989998572822,0.437697535464703
