"direction","fromAltName","interaction","name","selected","shared interaction","shared name","toAltName","weight"
"undirected",,"interacts with","DNAJC1 (interacts with) MEX3C","false","interacts with","DNAJC1 (interacts with) MEX3C",,"0.542604526373421"
"undirected",,"interacts with","SMAD2 (interacts with) SRP9","false","interacts with","SMAD2 (interacts with) SRP9",,"0.521450163858419"
"undirected",,"interacts with","CASP4 (interacts with) LPAR6","false","interacts with","CASP4 (interacts with) LPAR6",,"0.542603343599388"
"undirected",,"interacts with","EML2-AS1 (interacts with) EOMES","false","interacts with","EML2-AS1 (interacts with) EOMES",,"0.510355034549799"
"undirected",,"interacts with","ACSS1 (interacts with) RGL2","false","interacts with","ACSS1 (interacts with) RGL2",,"0.513006802866391"
"undirected",,"interacts with","NPM1 (interacts with) RGL2","false","interacts with","NPM1 (interacts with) RGL2",,"0.546100295317728"
"undirected",,"interacts with","KLHDC3 (interacts with) MRGBP","false","interacts with","KLHDC3 (interacts with) MRGBP",,"0.536117024584587"
"undirected",,"interacts with","ESRP2 (interacts with) KIR3DX1","false","interacts with","ESRP2 (interacts with) KIR3DX1",,"0.560178278926416"
"undirected",,"interacts with","ILRUN (interacts with) OSBPL5","false","interacts with","ILRUN (interacts with) OSBPL5",,"0.546096721014546"
"undirected",,"interacts with","NFE2L1 (interacts with) RGL2","false","interacts with","NFE2L1 (interacts with) RGL2",,"0.539258192436914"
"undirected",,"interacts with","BICRAL (interacts with) SLAMF7","false","interacts with","BICRAL (interacts with) SLAMF7",,"0.515824005714534"
"undirected",,"interacts with","EMP3 (interacts with) RHBDD2","false","interacts with","EMP3 (interacts with) RHBDD2",,"0.50764227102953"
"undirected",,"interacts with","COMMD8 (interacts with) LAMTOR4","false","interacts with","COMMD8 (interacts with) LAMTOR4",,"0.542587201546537"
"undirected",,"interacts with","PDLIM1 (interacts with) PSMD8","false","interacts with","PDLIM1 (interacts with) PSMD8",,"0.539257520174661"
"undirected",,"interacts with","MOB1A (interacts with) MXD4","false","interacts with","MOB1A (interacts with) MXD4",,"0.53016107697697"
"undirected",,"interacts with","LRPPRC (interacts with) MOB1A","false","interacts with","LRPPRC (interacts with) MOB1A",,"0.505043000453797"
"undirected",,"interacts with","ACSS1 (interacts with) MOB1A","false","interacts with","ACSS1 (interacts with) MOB1A",,"0.527208979225038"
"undirected",,"interacts with","CMC1 (interacts with) WDR81","false","interacts with","CMC1 (interacts with) WDR81",,"0.560164425288728"
"undirected",,"interacts with","AKR1B1 (interacts with) CAST","false","interacts with","AKR1B1 (interacts with) CAST",,"0.527208506910221"
"undirected",,"interacts with","EMP3 (interacts with) TRIM8","false","interacts with","EMP3 (interacts with) TRIM8",,"0.52427231555801"
"undirected",,"interacts with","EML2-AS1 (interacts with) VAV3","false","interacts with","EML2-AS1 (interacts with) VAV3",,"0.536105815652206"
"undirected",,"interacts with","AKR1B1 (interacts with) TM2D2","false","interacts with","AKR1B1 (interacts with) TM2D2",,"0.53015782168182"
"undirected",,"interacts with","SSH1 (interacts with) TCF7","false","interacts with","SSH1 (interacts with) TCF7",,"0.536104474796159"
"undirected",,"interacts with","RNF5 (interacts with) SGSM2","false","interacts with","RNF5 (interacts with) SGSM2",,"0.533134215762995"
"undirected",,"interacts with","TMED9 (interacts with) UBE2E3","false","interacts with","TMED9 (interacts with) UBE2E3",,"0.533133365650933"
"undirected",,"interacts with","CALHM2 (interacts with) TEX261","false","interacts with","CALHM2 (interacts with) TEX261",,"0.554334028240707"
"undirected",,"interacts with","TRAM1 (interacts with) ZNF274","false","interacts with","TRAM1 (interacts with) ZNF274",,"0.521425181916787"
"undirected",,"interacts with","ATOX1 (interacts with) MATK","false","interacts with","ATOX1 (interacts with) MATK",,"0.527204665486841"
"undirected",,"interacts with","ARL5A (interacts with) PTMS","false","interacts with","ARL5A (interacts with) PTMS",,"0.533133220495742"
"undirected",,"interacts with","CYRIB (interacts with) WDR81","false","interacts with","CYRIB (interacts with) WDR81",,"0.505040042077942"
"undirected",,"interacts with","C12orf73 (interacts with) R3HCC1","false","interacts with","C12orf73 (interacts with) R3HCC1",,"0.554325289821054"
"undirected",,"interacts with","HMGN4 (interacts with) SIGLEC17P","false","interacts with","HMGN4 (interacts with) SIGLEC17P",,"0.539236097251604"
"undirected",,"interacts with","FBXO6 (interacts with) PRR5L","false","interacts with","FBXO6 (interacts with) PRR5L",,"0.521416035186872"
"undirected",,"interacts with","LENG1 (interacts with) SERPINB6","false","interacts with","LENG1 (interacts with) SERPINB6",,"0.521415050766927"
