"direction","fromAltName","interaction","name","selected","shared interaction","shared name","toAltName","weight"
"undirected",,"interacts with","RHOH (interacts with) UBE2N","false","interacts with","RHOH (interacts with) UBE2N",,"0.521488457050044"
"undirected",,"interacts with","RAB1B (interacts with) TRIM41","false","interacts with","RAB1B (interacts with) TRIM41",,"0.53319168460244"
"undirected",,"interacts with","TPM3 (interacts with) UBE2B","false","interacts with","TPM3 (interacts with) UBE2B",,"0.52148754765783"
"undirected",,"interacts with","GLMP (interacts with) TMEM30A","false","interacts with","GLMP (interacts with) TMEM30A",,"0.546136426926426"
"undirected",,"interacts with","DUSP8 (interacts with) POP7","false","interacts with","DUSP8 (interacts with) POP7",,"0.533188830501044"
"undirected",,"interacts with","ANXA2 (interacts with) CD81","false","interacts with","ANXA2 (interacts with) CD81",,"0.533187016036237"
"undirected",,"interacts with","OSER1 (interacts with) TPRG1L","false","interacts with","OSER1 (interacts with) TPRG1L",,"0.51037701990963"
"undirected",,"interacts with","CCDC115 (interacts with) TPST2","false","interacts with","CCDC115 (interacts with) TPST2",,"0.546134376098748"
"undirected",,"interacts with","ARHGAP12 (interacts with) RPF1","false","interacts with","ARHGAP12 (interacts with) RPF1",,"0.546133202555322"
"undirected",,"interacts with","MEGF9 (interacts with) PDZD11","false","interacts with","MEGF9 (interacts with) PDZD11",,"0.510373682217346"
"undirected",,"interacts with","ATXN7L3B (interacts with) VAMP7","false","interacts with","ATXN7L3B (interacts with) VAMP7",,"0.54613098002293"
"undirected",,"interacts with","BZW1 (interacts with) SPRING1","false","interacts with","BZW1 (interacts with) SPRING1",,"0.533175724263128"
"undirected",,"interacts with","ADRB2 (interacts with) AP2S1","false","interacts with","ADRB2 (interacts with) AP2S1",,"0.510371758073601"
"undirected",,"interacts with","ARHGAP30 (interacts with) TMEM129","false","interacts with","ARHGAP30 (interacts with) TMEM129",,"0.521471340925004"
"undirected",,"interacts with","LINC00528 (interacts with) RPN2","false","interacts with","LINC00528 (interacts with) RPN2",,"0.54612800503076"
"undirected",,"interacts with","SRP14 (interacts with) TRIP4","false","interacts with","SRP14 (interacts with) TRIP4",,"0.521468431536157"
"undirected",,"interacts with","RHOH (interacts with) ZBTB14","false","interacts with","RHOH (interacts with) ZBTB14",,"0.510366620117463"
"undirected",,"interacts with","ADAM8 (interacts with) APEX1","false","interacts with","ADAM8 (interacts with) APEX1",,"0.510365511770373"
"undirected",,"interacts with","MSN (interacts with) NTNG2","false","interacts with","MSN (interacts with) NTNG2",,"0.533164904235106"
"undirected",,"interacts with","CD81 (interacts with) LGALS1","false","interacts with","CD81 (interacts with) LGALS1",,"0.546117108068809"
"undirected",,"interacts with","FHL3 (interacts with) ZNF101","false","interacts with","FHL3 (interacts with) ZNF101",,"0.546117072631972"
"undirected",,"interacts with","CERCAM (interacts with) ZNF101","false","interacts with","CERCAM (interacts with) ZNF101",,"0.5103644584806"
"undirected",,"interacts with","ANP32B (interacts with) SSBP4","false","interacts with","ANP32B (interacts with) SSBP4",,"0.521457890884719"
"undirected",,"interacts with","GNAI2 (interacts with) PDZD11","false","interacts with","GNAI2 (interacts with) PDZD11",,"0.546113648504749"
"undirected",,"interacts with","AP2B1 (interacts with) TMEM161B-DT","false","interacts with","AP2B1 (interacts with) TMEM161B-DT",,"0.521454328794241"
"undirected",,"interacts with","CTNNA1 (interacts with) FBXL12","false","interacts with","CTNNA1 (interacts with) FBXL12",,"0.52145184360295"
"undirected",,"interacts with","GBA (interacts with) INO80E","false","interacts with","GBA (interacts with) INO80E",,"0.521449763042964"
"undirected",,"interacts with","ITGB2 (interacts with) THAP12","false","interacts with","ITGB2 (interacts with) THAP12",,"0.546103931368294"
"undirected",,"interacts with","GNAI2 (interacts with) SEPHS2","false","interacts with","GNAI2 (interacts with) SEPHS2",,"0.52144313286756"
"undirected",,"interacts with","HIVEP3 (interacts with) PPIB","false","interacts with","HIVEP3 (interacts with) PPIB",,"0.521443001781403"
"undirected",,"interacts with","TARS1 (interacts with) UBE2N","false","interacts with","TARS1 (interacts with) UBE2N",,"0.533145659486871"
"undirected",,"interacts with","LCP1 (interacts with) PDCD5","false","interacts with","LCP1 (interacts with) PDCD5",,"0.521442005247246"
"undirected",,"interacts with","PDE7A (interacts with) PLEK","false","interacts with","PDE7A (interacts with) PLEK",,"0.546100154414098"
"undirected",,"interacts with","IMPDH1 (interacts with) ITGB2","false","interacts with","IMPDH1 (interacts with) ITGB2",,"0.521440277332852"
"undirected",,"interacts with","CTDSP1 (interacts with) P2RY10","false","interacts with","CTDSP1 (interacts with) P2RY10",,"0.546096959610927"
"undirected",,"interacts with","POP7 (interacts with) TPM3","false","interacts with","POP7 (interacts with) TPM3",,"0.533143960133488"
"undirected",,"interacts with","CYB561D1 (interacts with) TNFRSF10B","false","interacts with","CYB561D1 (interacts with) TNFRSF10B",,"0.510350631400122"
"undirected",,"interacts with","PDIA6 (interacts with) POLR2G","false","interacts with","PDIA6 (interacts with) POLR2G",,"0.510348809928391"
"undirected",,"interacts with","PUM3 (interacts with) TOR2A","false","interacts with","PUM3 (interacts with) TOR2A",,"0.546096658100051"
"undirected",,"interacts with","PLEK (interacts with) POP4","false","interacts with","PLEK (interacts with) POP4",,"0.533139839122906"
"undirected",,"interacts with","ADAM8 (interacts with) NPTN","false","interacts with","ADAM8 (interacts with) NPTN",,"0.546094913536547"
"undirected",,"interacts with","RAB5B (interacts with) RHOH","false","interacts with","RAB5B (interacts with) RHOH",,"0.521436364591987"
"undirected",,"interacts with","GLTP (interacts with) PRSS23","false","interacts with","GLTP (interacts with) PRSS23",,"0.521434623933858"
"undirected",,"interacts with","CHPF2 (interacts with) RPN2","false","interacts with","CHPF2 (interacts with) RPN2",,"0.546093255895527"
"undirected",,"interacts with","MRRF (interacts with) PLEK","false","interacts with","MRRF (interacts with) PLEK",,"0.546092466762214"
"undirected",,"interacts with","GLMP (interacts with) TWF1","false","interacts with","GLMP (interacts with) TWF1",,"0.533137140975437"
"undirected",,"interacts with","ERP29 (interacts with) RALY","false","interacts with","ERP29 (interacts with) RALY",,"0.521427525721998"
"undirected",,"interacts with","CTDSP1 (interacts with) MBP","false","interacts with","CTDSP1 (interacts with) MBP",,"0.546085532940826"
"undirected",,"interacts with","AKAP17A (interacts with) SEL1L3","false","interacts with","AKAP17A (interacts with) SEL1L3",,"0.510335529890068"
"undirected",,"interacts with","FHL3 (interacts with) PUM3","false","interacts with","FHL3 (interacts with) PUM3",,"0.51033449078113"
"undirected",,"interacts with","CMKLR1 (interacts with) RBM39","false","interacts with","CMKLR1 (interacts with) RBM39",,"0.546079931030964"
"undirected",,"interacts with","LYN (interacts with) RBM39","false","interacts with","LYN (interacts with) RBM39",,"0.510333378759777"
"undirected",,"interacts with","BIN2 (interacts with) TPRG1L","false","interacts with","BIN2 (interacts with) TPRG1L",,"0.533126145481224"
"undirected",,"interacts with","CTSC (interacts with) LYN","false","interacts with","CTSC (interacts with) LYN",,"0.521412037637907"
"undirected",,"interacts with","ELOF1 (interacts with) STARD7","false","interacts with","ELOF1 (interacts with) STARD7",,"0.546079361573933"
"undirected",,"interacts with","GALNT1 (interacts with) LYN","false","interacts with","GALNT1 (interacts with) LYN",,"0.533125925413795"
"undirected",,"interacts with","BIN2 (interacts with) SIPA1L1","false","interacts with","BIN2 (interacts with) SIPA1L1",,"0.521409480098309"
"undirected",,"interacts with","EFHD2 (interacts with) GALNT1","false","interacts with","EFHD2 (interacts with) GALNT1",,"0.546075376421783"
"undirected",,"interacts with","ANXA2 (interacts with) CAPNS1","false","interacts with","ANXA2 (interacts with) CAPNS1",,"0.53311950746568"
"undirected",,"interacts with","GLTP (interacts with) OASL","false","interacts with","GLTP (interacts with) OASL",,"0.533116480738251"
"undirected",,"interacts with","CAPNS1 (interacts with) SH3KBP1","false","interacts with","CAPNS1 (interacts with) SH3KBP1",,"0.521405048559864"
"undirected",,"interacts with","FAM117A (interacts with) KIAA2013","false","interacts with","FAM117A (interacts with) KIAA2013",,"0.533115228326956"
"undirected",,"interacts with","PDCD5 (interacts with) PLEK","false","interacts with","PDCD5 (interacts with) PLEK",,"0.51032678212687"
"undirected",,"interacts with","IMPDH1 (interacts with) TPM3","false","interacts with","IMPDH1 (interacts with) TPM3",,"0.54606660299171"
"undirected",,"interacts with","LAMTOR1 (interacts with) SELENOS","false","interacts with","LAMTOR1 (interacts with) SELENOS",,"0.546064719292738"
