nodeName	altName	nodeAttr[nodesPresent, ]
NDUFS7	NA	brown
NEK7	NA	brown
NELFA	NA	brown
NFATC2IP	NA	brown
NFIL3	NA	brown
NGDN	NA	brown
NIPAL3	NA	brown
NKTR	NA	brown
NLRP1	NA	brown
NME3	NA	brown
NOL6	NA	brown
NONO	NA	brown
NOP2	NA	brown
NPC2	NA	brown
NPEPPS	NA	brown
NPIPB12	NA	brown
NPIPB15	NA	brown
NPIPB2	NA	brown
NR1D2	NA	brown
NRDC	NA	brown
NSUN2	NA	brown
NT5C2	NA	brown
NUB1	NA	brown
NUDT16L1	NA	brown
NUFIP2	NA	brown
OGT	NA	brown
OST4	NA	brown
OXA1L	NA	brown
PAFAH1B1	NA	brown
PANK4	NA	brown
PCID2	NA	brown
PCM1	NA	brown
PCNP	NA	brown
PCNX1	NA	brown
PDCD1	NA	brown
PDE4A	NA	brown
PHF10	NA	brown
PHF12	NA	brown
PHF3	NA	brown
PHKG2	NA	brown
PHRF1	NA	brown
PI4KA	NA	brown
PI4KAP2	NA	brown
PIDD1	NA	brown
PIGL	NA	brown
PIK3CD	NA	brown
PIP4P1	NA	brown
PIP5K1A	NA	brown
PITRM1	NA	brown
PKN2	NA	brown
PLCH2	NA	brown
PLEC	NA	brown
PLXND1	NA	brown
PMPCB	NA	brown
PNMA1	NA	brown
POGLUT1	NA	brown
POLM	NA	brown
POLR2B	NA	brown
POLR2K	NA	brown
POLR2L	NA	brown
POLR3E	NA	brown
PPIL3	NA	brown
PPP2R2A	NA	brown
PPP6R3	NA	brown
PPWD1	NA	brown
PRDM2	NA	brown
PRDX1	NA	brown
PRKDC	NA	brown
PRPF38B	NA	brown
PSMC6	NA	brown
PSMD6	NA	brown
PSME2	NA	brown
PSME3IP1	NA	brown
PSPC1	NA	brown
PSTPIP1	NA	brown
PTCD3	NA	brown
PTGER2	NA	brown
PUF60	NA	brown
PWP2	NA	brown
RAB11A	NA	brown
RAB21	NA	brown
RABGGTA	NA	brown
RAC2	NA	brown
RAD23A	NA	brown
RAE1	NA	brown
RAF1	NA	brown
RALGAPA1	NA	brown
RANBP1	NA	brown
RANBP3	NA	brown
RAP2C	NA	brown
RARS1	NA	brown
RBM10	NA	brown
RBM17	NA	brown
RBM25	NA	brown
RBM38	NA	brown
RCOR1	NA	brown
RCOR3	NA	brown
REPS1	NA	brown
RER1	NA	brown
RHOT2	NA	brown
RLIM	NA	brown
RNF10	NA	brown
RNF216	NA	brown
RNMT	NA	brown
ROMO1	NA	brown
RPA1	NA	brown
RPAIN	NA	brown
RPL15	NA	brown
RPS19	NA	brown
RPS27	NA	brown
RPS27A	NA	brown
RPS7	NA	brown
RXRB	NA	brown
RYBP	NA	brown
SACM1L	NA	brown
SAMHD1	NA	brown
SCAND1	NA	brown
SDHAP1	NA	brown
SEC16A	NA	brown
SEC23A	NA	brown
SEC24B	NA	brown
SEC63	NA	brown
SELENOO	NA	brown
SENP6	NA	brown
SENP7	NA	brown
SERPINB9	NA	brown
SETD1B	NA	brown
SETD3	NA	brown
SETDB1	NA	brown
SIDT2	NA	brown
SIK3	NA	brown
SIT1	NA	brown
SKIV2L	NA	brown
SLA2	NA	brown
SLBP	NA	brown
SLC12A7	NA	brown
SLC35D2	NA	brown
SLTM	NA	brown
SMARCD2	NA	brown
SMC5	NA	brown
SMIM4	NA	brown
SMNDC1	NA	brown
SMPD4	NA	brown
SMURF1	NA	brown
SND1	NA	brown
SNRNP200	NA	brown
SNRPD2	NA	brown
SNU13	NA	brown
SNW1	NA	brown
SOAT1	NA	brown
SPRY2	NA	brown
SREK1	NA	brown
SRP54	NA	brown
SRRT	NA	brown
SRSF10	NA	brown
SRSF11	NA	brown
SRSF4	NA	brown
SS18L2	NA	brown
ST3GAL5	NA	brown
STAT4	NA	brown
STAT5B	NA	brown
STAT6	NA	brown
STK4	NA	brown
STMN3	NA	brown
STRAP	NA	brown
STYK1	NA	brown
SUPT6H	NA	brown
SUPV3L1	NA	brown
SURF4	NA	brown
SVIP	NA	brown
SYNGR2	NA	brown
TAF1C	NA	brown
TAF7	NA	brown
TARDBP	NA	brown
TBC1D15	NA	brown
TBCA	NA	brown
TBRG1	NA	brown
TBRG4	NA	brown
TCERG1	NA	brown
TCP11L2	NA	brown
TECPR1	NA	brown
TEKT4P2	NA	brown
TENT4B	NA	brown
TFDP1	NA	brown
TIAL1	NA	brown
TINF2	NA	brown
TMEM218	NA	brown
TMEM259	NA	brown
TMEM263	NA	brown
TMEM41B	NA	brown
TMF1	NA	brown
TMSB10	NA	brown
TMUB1	NA	brown
TNPO2	NA	brown
TNRC6A	NA	brown
TOMM22	NA	brown
TOP2B	NA	brown
TOP3B	NA	brown
TP53I11	NA	brown
TPP2	NA	brown
TRAPPC3	NA	brown
TRAPPC6A	NA	brown
TRAV12-1	NA	brown
TRAV12-3	NA	brown
TRAV2	NA	brown
TRAV20	NA	brown
TRBV19	NA	brown
TRBV24-1	NA	brown
TRBV3-1	NA	brown
TRBV6-1	NA	brown
TRDV1	NA	brown
TRGV10	NA	brown
TRIP12	NA	brown
TRMO	NA	brown
TRMT112	NA	brown
TSC2	NA	brown
TSPYL4	NA	brown
TSTD2	NA	brown
TTC37	NA	brown
TUBB	NA	brown
TUBGCP6	NA	brown
TUT4	NA	brown
U2AF1	NA	brown
UBAP2L	NA	brown
UBE2E1	NA	brown
UBE2L6	NA	brown
UBL7	NA	brown
UBXN1	NA	brown
UBXN11	NA	brown
UFC1	NA	brown
UHRF2	NA	brown
UPF1	NA	brown
UQCC2	NA	brown
UQCRC2	NA	brown
UQCRH	NA	brown
USP10	NA	brown
USP14	NA	brown
USP15	NA	brown
USP25	NA	brown
USP47	NA	brown
USP48	NA	brown
USP9X	NA	brown
VASP	NA	brown
VCAM1	NA	brown
VMP1	NA	brown
